ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
12,0.000,0.000,0.003,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:4251(__init__)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:4234(Combine)
5,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:4292(__init__)
6,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:4296(postParse)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:4278(Group)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:4335(__init__)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:4299(Dict)
4,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:4383(postParse)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:4364(Suppress)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:4390(OnlyOnce)
2,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:4450(delimitedList)
15,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:4565(_escapeRegexRangeChars)
2,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:4681(originalTextFor)
12,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:4757(<lambda>)
97,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:4781(<genexpr>)
6,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:4781(<lambda>)
8,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:4783(<genexpr>)
2,0.000,0.000,0.001,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:4763(srange)
7,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:4825(tokenMap)
94,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:4890(<genexpr>)
1,0.000,0.000,0.001,0.001,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:4875(_makeTags)
1,0.000,0.000,0.001,0.001,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:4904(makeHTMLTags)
1,0.000,0.000,0.005,0.005,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:5399(pyparsing_common)
1,0.000,0.000,0.012,0.012,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:26(<module>)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.8/pprint.py:77(_safe_key)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.8/pprint.py:103(PrettyPrinter)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.8/pprint.py:11(<module>)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/_compat.py:20(with_metaclass)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/_compat.py:4(<module>)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:205(ParseBaseException)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:261(ParseException)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:282(ParseFatalException)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:287(ParseSyntaxException)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:306(RecursiveGrammarException)
